origin,destination
"Montgomery,Alabama,32.3669656,-86.3006485","Montgomery,Alabama,32.3669656,-86.3006485"
"Montgomery,Alabama,32.3669656,-86.3006485","Juneau,Alaska,58.30194960000001,-134.419734"
"Montgomery,Alabama,32.3669656,-86.3006485","Phoenix,Arizona,33.448586600000006,-112.0773456"
"Montgomery,Alabama,32.3669656,-86.3006485","Little Rock,Arkansas,34.7464809,-92.2895948"
"Montgomery,Alabama,32.3669656,-86.3006485","Sacramento,California,38.5815719,-121.49439960000001"
"Montgomery,Alabama,32.3669656,-86.3006485","Denver,Colorado,39.7392364,-104.98486229999999"
"Montgomery,Alabama,32.3669656,-86.3006485","Hartford,Connecticut,41.764582,-72.6908547"
"Montgomery,Alabama,32.3669656,-86.3006485","Dover,Delaware,39.158167999999996,-75.5243682"
"Montgomery,Alabama,32.3669656,-86.3006485","Tallahassee,Florida,30.4380832,-84.2809332"
"Montgomery,Alabama,32.3669656,-86.3006485","Atlanta,Georgia,33.749098700000005,-84.39018490000001"
"Montgomery,Alabama,32.3669656,-86.3006485","Honolulu,Hawaii,21.3250785,-157.8466442"
"Montgomery,Alabama,32.3669656,-86.3006485","Boise,Idaho,43.61656,-116.20083500000001"
"Montgomery,Alabama,32.3669656,-86.3006485","Springfield,Illinios,39.799749,-89.647463"
"Montgomery,Alabama,32.3669656,-86.3006485","Indianapolis,Indiana,39.7683331,-86.1583502"
"Montgomery,Alabama,32.3669656,-86.3006485","Des Monies,Iowa,41.587185999999996,-93.621949"
"Montgomery,Alabama,32.3669656,-86.3006485","Topeka,Kansas,39.049011,-95.67755600000001"
"Montgomery,Alabama,32.3669656,-86.3006485","Frankfort,Kentucky,38.2009055,-84.8732836"
"Montgomery,Alabama,32.3669656,-86.3006485","Baton Rouge,Louisiana,30.445959600000002,-91.18738"
"Montgomery,Alabama,32.3669656,-86.3006485","Augusta,Maine,44.310583,-69.779663"
"Montgomery,Alabama,32.3669656,-86.3006485","Annapolis,Maryland,38.9786401,-76.492786"
"Montgomery,Alabama,32.3669656,-86.3006485","Boston,Massachusetts,42.3602534,-71.0582912"
"Montgomery,Alabama,32.3669656,-86.3006485","Lansing,Michigan,42.73377120000001,-84.5553805"
"Montgomery,Alabama,32.3669656,-86.3006485","St. Paul,Minnesota,44.9504037,-93.10150259999999"
"Montgomery,Alabama,32.3669656,-86.3006485","Jackson,Mississippi,32.29903839999999,-90.1847691"
"Montgomery,Alabama,32.3669656,-86.3006485","Jefferson City,Missouri,38.577359,-92.1724265"
"Montgomery,Alabama,32.3669656,-86.3006485","Helena,Montana,46.592712,-112.03610900000001"
"Montgomery,Alabama,32.3669656,-86.3006485","Lincoln,Nebraska,40.8,-96.66782099999999"
"Montgomery,Alabama,32.3669656,-86.3006485","Carson City,Neveda,39.169461,-119.766035"
"Montgomery,Alabama,32.3669656,-86.3006485","Concord,New Hampshire,43.207178000000006,-71.537476"
"Montgomery,Alabama,32.3669656,-86.3006485","Trenton,New Jersey,40.2170575,-74.7429463"
"Montgomery,Alabama,32.3669656,-86.3006485","Santa Fe,New Mexico,35.68699960000001,-105.9377997"
"Montgomery,Alabama,32.3669656,-86.3006485","Albany,New York,42.6511674,-73.754968"
"Montgomery,Alabama,32.3669656,-86.3006485","Raleigh,North Carolina,35.7803977,-78.63909890000001"
"Montgomery,Alabama,32.3669656,-86.3006485","Bismarck,North Dakota,46.808327,-100.783739"
"Montgomery,Alabama,32.3669656,-86.3006485","Columbus,Ohio,39.9622601,-83.00070649999999"
"Montgomery,Alabama,32.3669656,-86.3006485","Oklahoma City,Oklahoma,35.4729886,-97.5170536"
"Montgomery,Alabama,32.3669656,-86.3006485","Salem,Oregon,44.9391565,-123.033121"
"Montgomery,Alabama,32.3669656,-86.3006485","Harrisburg,Pennsylvania,40.266310700000005,-76.8861122"
"Montgomery,Alabama,32.3669656,-86.3006485","Providence,Rhoda Island,41.824877,-71.413618"
"Montgomery,Alabama,32.3669656,-86.3006485","Columbia,South Carolina,34.000749299999995,-81.03433129999999"
"Montgomery,Alabama,32.3669656,-86.3006485","Pierre,South Dakoda,44.368431,-100.354013"
"Montgomery,Alabama,32.3669656,-86.3006485","Nashville,Tennessee,36.1622296,-86.7743531"
"Montgomery,Alabama,32.3669656,-86.3006485","Austin,Texas,30.2711286,-97.7436995"
"Montgomery,Alabama,32.3669656,-86.3006485","Salt Lake City,Utah,40.7670126,-111.89043079999999"
"Montgomery,Alabama,32.3669656,-86.3006485","Montpelier,Vermont,44.260445000000004,-72.575684"
"Montgomery,Alabama,32.3669656,-86.3006485","Richmond,Virginia,37.53850870000001,-77.43428"
"Montgomery,Alabama,32.3669656,-86.3006485","Olympia,Washington,47.0451022,-122.89500749999999"
"Montgomery,Alabama,32.3669656,-86.3006485","Charleston,West Virginia,38.3505995,-81.6332812"
"Montgomery,Alabama,32.3669656,-86.3006485","Madison,Wisconsin,43.074760999999995,-89.3837613"
"Montgomery,Alabama,32.3669656,-86.3006485","Cheyenne,Wyoming,41.14,-104.82"
"Juneau,Alaska,58.30194960000001,-134.419734","Montgomery,Alabama,32.3669656,-86.3006485"
"Juneau,Alaska,58.30194960000001,-134.419734","Juneau,Alaska,58.30194960000001,-134.419734"
"Juneau,Alaska,58.30194960000001,-134.419734","Phoenix,Arizona,33.448586600000006,-112.0773456"
"Juneau,Alaska,58.30194960000001,-134.419734","Little Rock,Arkansas,34.7464809,-92.2895948"
"Juneau,Alaska,58.30194960000001,-134.419734","Sacramento,California,38.5815719,-121.49439960000001"
"Juneau,Alaska,58.30194960000001,-134.419734","Denver,Colorado,39.7392364,-104.98486229999999"
"Juneau,Alaska,58.30194960000001,-134.419734","Hartford,Connecticut,41.764582,-72.6908547"
"Juneau,Alaska,58.30194960000001,-134.419734","Dover,Delaware,39.158167999999996,-75.5243682"
