,origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile,filter
1920,Providence,Rhoda Island,41.8249,-71.4136,Boston,Massachusetts,42.3603,-71.0583,41.24753338903346,0
1038,Boston,Massachusetts,42.3603,-71.0583,Providence,Rhoda Island,41.8249,-71.4136,41.24753338903346,1
957,Annapolis,Maryland,38.9786,-76.4928,Dover,Delaware,39.1582,-75.5244,53.42651514360613,0
369,Dover,Delaware,39.1582,-75.5244,Annapolis,Maryland,38.9786,-76.4928,53.42651514360613,1
1028,Boston,Massachusetts,42.3603,-71.0583,Concord,New Hampshire,43.2072,-71.5375,63.379657589353464,0
1420,Concord,New Hampshire,43.2072,-71.5375,Boston,Massachusetts,42.3603,-71.0583,63.379657589353464,1
1906,Providence,Rhoda Island,41.8249,-71.4136,Hartford,Connecticut,41.7646,-72.6909,65.94765030308493,0
338,Hartford,Connecticut,41.7646,-72.6909,Providence,Rhoda Island,41.8249,-71.4136,65.94765030308493,1
331,Hartford,Connecticut,41.7646,-72.6909,Albany,New York,42.6512,-73.755,81.98956704652494,0
1556,Albany,New York,42.6512,-73.755,Hartford,Connecticut,41.7646,-72.6909,81.98956704652494,1
1457,Trenton,New Jersey,40.2171,-74.7429,Dover,Delaware,39.1582,-75.5244,84.16461908962667,0
379,Dover,Delaware,39.1582,-75.5244,Trenton,New Jersey,40.2171,-74.7429,84.16461908962667,1
1444,Concord,New Hampshire,43.2072,-71.5375,Montpelier,Vermont,44.2604,-72.5757,89.36719253126255,0
2228,Montpelier,Vermont,44.2604,-72.5757,Concord,New Hampshire,43.2072,-71.5375,89.36719253126255,1
1869,Harrisburg,Pennsylvania,40.2663,-76.8861,Annapolis,Maryland,38.9786,-76.4928,91.42883724768699,0
987,Annapolis,Maryland,38.9786,-76.4928,Harrisburg,Pennsylvania,40.2663,-76.8861,91.42883724768699,1
1006,Boston,Massachusetts,42.3603,-71.0583,Hartford,Connecticut,41.7646,-72.6909,93.34041320891033,0
320,Hartford,Connecticut,41.7646,-72.6909,Boston,Massachusetts,42.3603,-71.0583,93.34041320891033,1
1928,Providence,Rhoda Island,41.8249,-71.4136,Concord,New Hampshire,43.2072,-71.5375,95.74589913045102,0
1438,Concord,New Hampshire,43.2072,-71.5375,Providence,Rhoda Island,41.8249,-71.4136,95.74589913045102,1
2455,Cheyenne,Wyoming,41.14,-104.82,Denver,Colorado,39.7392,-104.9849,97.20402301550529,0
299,Denver,Colorado,39.7392,-104.9849,Cheyenne,Wyoming,41.14,-104.82,97.20402301550529,1
1354,Carson City,Neveda,39.1695,-119.766,Sacramento,California,38.5816,-121.4944,101.48629950759263,0
227,Sacramento,California,38.5816,-121.4944,Carson City,Neveda,39.1695,-119.766,101.48629950759263,1
1857,Harrisburg,Pennsylvania,40.2663,-76.8861,Dover,Delaware,39.1582,-75.5244,105.38681339889231,0
387,Dover,Delaware,39.1582,-75.5244,Harrisburg,Pennsylvania,40.2663,-76.8861,105.38681339889231,1
2269,Richmond,Virginia,37.5385,-77.4343,Annapolis,Maryland,38.9786,-76.4928,111.87983803771994,0
995,Annapolis,Maryland,38.9786,-76.4928,Richmond,Virginia,37.5385,-77.4343,111.87983803771994,1
1879,Harrisburg,Pennsylvania,40.2663,-76.8861,Trenton,New Jersey,40.2171,-74.7429,113.1177523638805,0
1487,Trenton,New Jersey,40.2171,-74.7429,Harrisburg,Pennsylvania,40.2663,-76.8861,113.1177523638805,1
