origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile
Boston,Massachusetts,42.3602534,-71.0582912,Providence,Rhoda Island,41.824877,-71.413618,41.24668177
Dover,Delaware,39.158168,-75.5243682,Annapolis,Maryland,38.9786401,-76.492786,53.42628375
Concord,New Hampshire,43.207178,-71.537476,Boston,Massachusetts,42.3602534,-71.0582912,63.38093729
Hartford,Connecticut,41.764582,-72.6908547,Providence,Rhoda Island,41.824877,-71.413618,65.94439438
Albany,New York,42.6511674,-73.754968,Hartford,Connecticut,41.764582,-72.6908547,81.98927978
Dover,Delaware,39.158168,-75.5243682,Trenton,New Jersey,40.2170575,-74.7429463,84.16194799
Montpelier,Vermont,44.260445,-72.575684,Concord,New Hampshire,43.207178,-71.537476,89.37119017
Annapolis,Maryland,38.9786401,-76.492786,Harrisburg,Pennsylvania,40.2663107,-76.8861122,91.42717691
Hartford,Connecticut,41.764582,-72.6908547,Boston,Massachusetts,42.3602534,-71.0582912,93.33789893
Concord,New Hampshire,43.207178,-71.537476,Providence,Rhoda Island,41.824877,-71.413618,95.74582724
Denver,Colorado,39.7392364,-104.9848623,Cheyenne,Wyoming,41.14,-104.82,97.20134013
Sacramento,California,38.5815719,-121.4943996,Carson City,Neveda,39.169461,-119.766035,101.4842928
Dover,Delaware,39.158168,-75.5243682,Harrisburg,Pennsylvania,40.2663107,-76.8861122,105.3905725
Annapolis,Maryland,38.9786401,-76.492786,Richmond,Virginia,37.5385087,-77.43428,111.8816121
Trenton,New Jersey,40.2170575,-74.7429463,Harrisburg,Pennsylvania,40.2663107,-76.8861122,113.1160914
Hartford,Connecticut,41.764582,-72.6908547,Concord,New Hampshire,43.207178,-71.537476,115.7418485
Augusta,Maine,44.310583,-69.779663,Concord,New Hampshire,43.207178,-71.537476,116.2513351
Albany,New York,42.6511674,-73.754968,Concord,New Hampshire,43.207178,-71.537476,118.6107741
Albany,New York,42.6511674,-73.754968,Montpelier,Vermont,44.260445,-72.575684,125.9790743
Annapolis,Maryland,38.9786401,-76.492786,Trenton,New Jersey,40.2170575,-74.7429463,126.5269138
Frankfort,Kentucky,38.2009055,-84.8732836,Indianapolis,Indiana,39.7683331,-86.1583502,128.4578358
Lincoln,Nebraska,40.8,-96.667821,Topeka,Kansas,39.049011,-95.677556,131.9090694
Albany,New York,42.6511674,-73.754968,Providence,Rhoda Island,41.824877,-71.413618,132.7151117
Charleston,West Virginia,38.3505995,-81.6332812,Columbus,Ohio,39.9622601,-83.0007065,133.3313767
Montpelier,Vermont,44.260445,-72.575684,Augusta,Maine,44.310583,-69.779663,138.3762585
Richmond,Virginia,37.5385087,-77.43428,Raleigh,North Carolina,35.7803977,-78.6390989,138.6591525
Albany,New York,42.6511674,-73.754968,Boston,Massachusetts,42.3602534,-71.0582912,138.8588831
Baton Rouge,Louisiana,30.4459596,-91.18738,Jackson,Mississippi,32.2990384,-90.1847691,141.0783814
Olympia,Washington,47.0451022,-122.8950075,Salem,Oregon,44.9391565,-123.033121,145.7033609
Atlanta,Georgia,33.7490987,-84.3901849,Montgomery,Alabama,32.3669656,-86.3006485,146.1870153
Augusta,Maine,44.310583,-69.779663,Boston,Massachusetts,42.3602534,-71.0582912,149.332821
Trenton,New Jersey,40.2170575,-74.7429463,Hartford,Connecticut,41.764582,-72.6908547,151.3206126
Montpelier,Vermont,44.260445,-72.575684,Boston,Massachusetts,42.3602534,-71.0582912,151.8861699
Dover,Delaware,39.158168,-75.5243682,Richmond,Virginia,37.5385087,-77.43428,152.4663938
Frankfort,Kentucky,38.2009055,-84.8732836,Columbus,Ohio,39.9622601,-83.0007065,157.8292371
Jefferson City,Missouri,38.577359,-92.1724265,Springfield,Illinios,39.799749,-89.647463,159.4670703
Lincoln,Nebraska,40.8,-96.667821,Des Monies,Iowa,41.587186,-93.621949,167.4815075
Indianapolis,Indiana,39.7683331,-86.1583502,Columbus,Ohio,39.9622601,-83.0007065,168.0377219
Bismarck,North Dakota,46.808327,-100.783739,Pierre,South Dakoda,44.368431,-100.354013,169.9086619
Hartford,Connecticut,41.764582,-72.6908547,Montpelier,Vermont,44.260445,-72.575684,172.5996627
Frankfort,Kentucky,38.2009055,-84.8732836,Nashville,Tennessee,36.1622296,-86.7743531,175.5243506
Albany,New York,42.6511674,-73.754968,Trenton,New Jersey,40.2170575,-74.7429463,175.8464243
Frankfort,Kentucky,38.2009055,-84.8732836,Charleston,West Virginia,38.3505995,-81.6332812,176.0909131
