origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon
Montgomery,Alabama,32.367,-86.3006,Montgomery,Alabama,32.367,-86.3006
Montgomery,Alabama,32.367,-86.3006,Juneau,Alaska,58.3019,-134.4197
Montgomery,Alabama,32.367,-86.3006,Phoenix,Arizona,33.4486,-112.0773
Montgomery,Alabama,32.367,-86.3006,Little Rock,Arkansas,34.7465,-92.2896
Montgomery,Alabama,32.367,-86.3006,Sacramento,California,38.5816,-121.4944
Montgomery,Alabama,32.367,-86.3006,Denver,Colorado,39.7392,-104.9849
Montgomery,Alabama,32.367,-86.3006,Hartford,Connecticut,41.7646,-72.6909
Montgomery,Alabama,32.367,-86.3006,Dover,Delaware,39.1582,-75.5244
Montgomery,Alabama,32.367,-86.3006,Tallahassee,Florida,30.4381,-84.2809
Montgomery,Alabama,32.367,-86.3006,Atlanta,Georgia,33.7491,-84.3902
Montgomery,Alabama,32.367,-86.3006,Honolulu,Hawaii,21.3251,-157.8466
Montgomery,Alabama,32.367,-86.3006,Boise,Idaho,43.6166,-116.2008
Montgomery,Alabama,32.367,-86.3006,Springfield,Illinios,39.7997,-89.6475
Montgomery,Alabama,32.367,-86.3006,Indianapolis,Indiana,39.7683,-86.1584
Montgomery,Alabama,32.367,-86.3006,Des Monies,Iowa,41.5872,-93.6219
Montgomery,Alabama,32.367,-86.3006,Topeka,Kansas,39.049,-95.6776
Montgomery,Alabama,32.367,-86.3006,Frankfort,Kentucky,38.2009,-84.8733
Montgomery,Alabama,32.367,-86.3006,Baton Rouge,Louisiana,30.446,-91.1874
Montgomery,Alabama,32.367,-86.3006,Augusta,Maine,44.3106,-69.7797
Montgomery,Alabama,32.367,-86.3006,Annapolis,Maryland,38.9786,-76.4928
Montgomery,Alabama,32.367,-86.3006,Boston,Massachusetts,42.3603,-71.0583
Montgomery,Alabama,32.367,-86.3006,Lansing,Michigan,42.7338,-84.5554
Montgomery,Alabama,32.367,-86.3006,St. Paul,Minnesota,44.9504,-93.1015
Montgomery,Alabama,32.367,-86.3006,Jackson,Mississippi,32.299,-90.1848
Montgomery,Alabama,32.367,-86.3006,Jefferson City,Missouri,38.5774,-92.1724
Montgomery,Alabama,32.367,-86.3006,Helena,Montana,46.5927,-112.0361
Montgomery,Alabama,32.367,-86.3006,Lincoln,Nebraska,40.8,-96.6678
Montgomery,Alabama,32.367,-86.3006,Carson City,Neveda,39.1695,-119.766
Montgomery,Alabama,32.367,-86.3006,Concord,New Hampshire,43.2072,-71.5375
Montgomery,Alabama,32.367,-86.3006,Trenton,New Jersey,40.2171,-74.7429
Montgomery,Alabama,32.367,-86.3006,Santa Fe,New Mexico,35.687,-105.9378
Montgomery,Alabama,32.367,-86.3006,Albany,New York,42.6512,-73.755
Montgomery,Alabama,32.367,-86.3006,Raleigh,North Carolina,35.7804,-78.6391
Montgomery,Alabama,32.367,-86.3006,Bismarck,North Dakota,46.8083,-100.7837
Montgomery,Alabama,32.367,-86.3006,Columbus,Ohio,39.9623,-83.0007
Montgomery,Alabama,32.367,-86.3006,Oklahoma City,Oklahoma,35.473,-97.5171
Montgomery,Alabama,32.367,-86.3006,Salem,Oregon,44.9392,-123.0331
Montgomery,Alabama,32.367,-86.3006,Harrisburg,Pennsylvania,40.2663,-76.8861
Montgomery,Alabama,32.367,-86.3006,Providence,Rhoda Island,41.8249,-71.4136
Montgomery,Alabama,32.367,-86.3006,Columbia,South Carolina,34.0007,-81.0343
Montgomery,Alabama,32.367,-86.3006,Pierre,South Dakoda,44.3684,-100.354
Montgomery,Alabama,32.367,-86.3006,Nashville,Tennessee,36.1622,-86.7744
Montgomery,Alabama,32.367,-86.3006,Austin,Texas,30.2711,-97.7437
Montgomery,Alabama,32.367,-86.3006,Salt Lake City,Utah,40.767,-111.8904
Montgomery,Alabama,32.367,-86.3006,Montpelier,Vermont,44.2604,-72.5757
Montgomery,Alabama,32.367,-86.3006,Richmond,Virginia,37.5385,-77.4343
Montgomery,Alabama,32.367,-86.3006,Olympia,Washington,47.0451,-122.895
Montgomery,Alabama,32.367,-86.3006,Charleston,West Virginia,38.3506,-81.6333
Montgomery,Alabama,32.367,-86.3006,Madison,Wisconsin,43.0748,-89.3838
Montgomery,Alabama,32.367,-86.3006,Cheyenne,Wyoming,41.14,-104.82
Juneau,Alaska,58.3019,-134.4197,Montgomery,Alabama,32.367,-86.3006
Juneau,Alaska,58.3019,-134.4197,Juneau,Alaska,58.3019,-134.4197
Juneau,Alaska,58.3019,-134.4197,Phoenix,Arizona,33.4486,-112.0773
Juneau,Alaska,58.3019,-134.4197,Little Rock,Arkansas,34.7465,-92.2896
Juneau,Alaska,58.3019,-134.4197,Sacramento,California,38.5816,-121.4944
Juneau,Alaska,58.3019,-134.4197,Denver,Colorado,39.7392,-104.9849
Juneau,Alaska,58.3019,-134.4197,Hartford,Connecticut,41.7646,-72.6909
Juneau,Alaska,58.3019,-134.4197,Dover,Delaware,39.1582,-75.5244
Juneau,Alaska,58.3019,-134.4197,Tallahassee,Florida,30.4381,-84.2809
Juneau,Alaska,58.3019,-134.4197,Atlanta,Georgia,33.7491,-84.3902
Juneau,Alaska,58.3019,-134.4197,Honolulu,Hawaii,21.3251,-157.8466
Juneau,Alaska,58.3019,-134.4197,Boise,Idaho,43.6166,-116.2008
Juneau,Alaska,58.3019,-134.4197,Springfield,Illinios,39.7997,-89.6475
Juneau,Alaska,58.3019,-134.4197,Indianapolis,Indiana,39.7683,-86.1584
Juneau,Alaska,58.3019,-134.4197,Des Monies,Iowa,41.5872,-93.6219
Juneau,Alaska,58.3019,-134.4197,Topeka,Kansas,39.049,-95.6776
Juneau,Alaska,58.3019,-134.4197,Frankfort,Kentucky,38.2009,-84.8733
Juneau,Alaska,58.3019,-134.4197,Baton Rouge,Louisiana,30.446,-91.1874
Juneau,Alaska,58.3019,-134.4197,Augusta,Maine,44.3106,-69.7797
Juneau,Alaska,58.3019,-134.4197,Annapolis,Maryland,38.9786,-76.4928
Juneau,Alaska,58.3019,-134.4197,Boston,Massachusetts,42.3603,-71.0583
Juneau,Alaska,58.3019,-134.4197,Lansing,Michigan,42.7338,-84.5554
Juneau,Alaska,58.3019,-134.4197,St. Paul,Minnesota,44.9504,-93.1015
Juneau,Alaska,58.3019,-134.4197,Jackson,Mississippi,32.299,-90.1848
Juneau,Alaska,58.3019,-134.4197,Jefferson City,Missouri,38.5774,-92.1724
